"id","batch","Email","Date","Faculty"
"5","2071","hadoop@spark.com","2018-12-01","comp"
"55","2071","hadoop@spark.com","2018-12-01","comp"
"554","2071","hadoop@spark.com","2018-09-01","comp"
"555","2071","hadoop@spark.com","2018-12-01","comp"
"5095","2073","hadoop@spark.com","2018-10-01","comp"
"5235","2071","hadoop@spark.com","2018-11-01","comp"
"5565","2071","hadoop@spark.com","2018-12-01","comp"
"5895","2072","hadoop@spark.com","2018-12-01","comp"
"51265","2071","hadoop@spark.com","2018-12-01","comp"
"52345","2071","hadoop@spark.com","2018-12-01","comp"
